0,0
1,1
2,2
3,3
4,4
5,66
6,67
7,68
8,69
9,130
10,5
11,6
12,7
13,8
14,75
15,81
16,104
17,105
18,106
19,131
20,154
21,9
22,10
23,11
24,12
25,13
26,14
27,100
28,133
29,132
30,150
31,178
32,179
33,180
34,181
35,193
36,15
37,73
38,74
39,16
40,17
41,18
42,19
43,20
44,21
45,99
46,110
47,108
48,109
49,107
50,135
51,136
52,137
53,138
54,139
55,155
56,156
57,157
58,162
59,163
60,158
61,159
62,160
63,161
64,183
65,182
66,196
67,197
68,198
69,199
70,200
71,201
72,202
73,207
74,208
75,211
76,212
77,213
78,214
79,215
80,216
81,22
82,23
83,24
84,76
85,77
86,78
87,79
88,80
89,116
90,118
91,147
92,148
93,149
94,134
95,140
96,141
97,142
98,143
99,144
100,145
101,164
102,165
103,209
104,210
105,217
106,218
107,219
108,231
109,232
110,25
111,26
112,27
113,28
114,29
115,30
116,31
117,32
118,33
119,34
120,35
121,36
122,37
123,38
124,39
125,40
126,119
127,120
128,121
129,122
130,166
131,166
132,167
133,168
134,169
135,170
136,220
137,221
138,222
139,223
140,224
141,229
142,230
143,41
144,42
145,43
146,44
147,46
148,47
149,45
150,48
151,49
152,50
153,51
154,123
155,124
156,111
157,112
158,113
159,114
160,184
161,185
162,192
163,191
164,225
165,52
166,53
167,54
168,55
169,56
170,57
171,86
172,117
173,125
174,126
175,127
176,171
177,172
178,226
179,58
180,59
181,60
182,61
183,62
184,63
185,64
186,65
187,87
188,88
189,89
190,101
191,102
192,115
193,128
194,129
195,146
196,174
197,175
198,176
199,177
200,186
201,187
202,194
203,203
204,204
205,205
206,227
207,228
208,70
209,71
210,72
211,103
212,83
213,84
214,85
215,82
216,90
217,91
218,92
219,93
220,94
221,96
222,97
223,98
224,153
225,152
226,151
227,173
228,188
229,189
230,190
231,195
232,206
233,233
234,234
235,235
236,236
237,237
238,238
239,239
240,246
241,240
242,241
243,242
244,243
245,244
246,245
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,255
256,256
257,257
258,258
259,259
260,260
261,261
262,262
263,263
264,264
265,265
266,266
267,267
268,268
269,269
270,270
271,271
272,272
273,273
274,274
275,275
276,276
277,277
278,282
279,278
280,279
281,280
282,281
283,283
284,284
285,285
286,286
287,287
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,296
297,297
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
310,310
311,311
312,312
